760	5240	How many companies have you interacted with today?
5240	6920	Well, you got up in the morning,
6920	8160	took a shower,
8160	9440	washed your hair,
9440	11000	used a hair dryer,
11000	12240	ate breakfast --
12240	14122	ate cereals, fruit, yogurt, whatever --
14122	15360	had coffee --
15360	16760	tea.
16760	18760	You took public transport to come here,
18760	21520	or maybe used your private car.
21520	26160	You interacted with the company that you work for or that you own.
26160	28760	You interacted with your clients,
28760	30640	your customers,
30640	31920	and so on and so forth.
31920	35560	I'm pretty sure there are at least seven companies
35560	37960	you've interacted with today.
37960	40840	Let me tell you a stunning statistic.
40840	45240	One out of seven large, public corporations
45240	48400	commit fraud every year.
48400	51840	This is a US academic study that looks at US companies --
51840	55480	I have no reason to believe that it's different in Europe.
55480	59720	This is a study that looks at both detected and undetected fraud
59720	61480	using statistical methods.
61480	64120	This is not petty fraud.
64120	67000	These frauds cost the shareholders of these companies,
67000	68280	and therefore society,
68280	72960	on the order of 380 billion dollars per year.
72960	75200	We can all think of some examples, right?
75200	79800	The car industry's secrets aren't quite so secret anymore.
79800	83120	Fraud has become a feature,
83120	84360	not a bug,
84360	86320	of the financial services industry.
86320	88560	That's not me who's claiming that,
88560	91840	that's the president of the American Finance Association
91840	94800	who stated that in his presidential address.
94800	97560	That's a huge problem if you think about, especially,
97560	99280	an economy like Switzerland,
99280	104960	which relies so much on the trust put into its financial industry.
104960	106200	On the other hand,
106200	109760	there are six out of seven companies who actually remain honest
109760	114240	despite all temptations to start engaging in fraud.
114240	116560	There are whistle-blowers like Michael Woodford,
116560	118920	who blew the whistle on Olympus.
118920	121640	These whistle-blowers risk their careers,
121640	122880	their friendships,
122880	125040	to bring out the truth about their companies.
125040	127680	There are journalists like Anna Politkovskaya
127680	131560	who risk even their lives to report human rights violations.
131560	132800	She got killed --
132800	134040	every year,
134040	135720	around 100 journalists get killed
135720	140040	because of their conviction to bring out the truth.
140040	141320	So in my talk today,
141320	144840	I want to share with you some insights I've obtained and learned
144840	148160	in the last 10 years of conducting research in this.
148160	151680	I'm a researcher, a scientist working with economists,
151680	153040	financial economists,
153040	155120	ethicists, neuroscientists,
155120	156480	lawyers and others
156480	158600	trying to understand what makes humans tick,
158600	163400	and how can we address this issue of fraud in corporations
163400	167280	and therefore contribute to the improvement of the world.
167280	170840	I want to start by sharing with you two very distinct visions
170840	172680	of how people behave.
172680	175200	First, meet Adam Smith,
175200	178280	founding father of modern economics.
178280	182600	His basic idea was that if everybody behaves in their own self-interests,
182600	186080	that's good for everybody in the end.
186080	189160	Self-interest isn't a narrowly defined concept
189160	191120	just for your immediate utility.
191120	193080	It has a long-run implication.
193080	195080	Let's think about that.
195080	197120	Think about this dog here.
197120	199440	That might be us.
199440	200720	There's this temptation --
200720	203120	I apologize to all vegetarians, but --
203120	204160	(Laughter)
204160	205880	Dogs do like the bratwurst.
205880	208280	(Laughter)
208280	211400	Now, the straight-up, self-interested move here
211400	213000	is to go for that.
213000	215960	So my friend Adam here might jump up,
215960	220000	get the sausage and thereby ruin all this beautiful tableware.
220000	221840	But that's not what Adam Smith meant.
221840	224520	He didn't mean disregard all consequences --
224520	225760	to the contrary.
225760	227040	He would have thought,
227040	229080	well, there may be negative consequences,
229080	230320	for example,
230320	233440	the owner might be angry with the dog
233440	237840	and the dog, anticipating that, might not behave in this way.
237840	239120	That might be us,
239120	242200	weighing the benefits and costs of our actions.
242200	243960	How does that play out?
243960	245960	Well, many of you, I'm sure,
245960	247520	have in your companies,
247520	249360	especially if it's a large company,
249360	251040	a code of conduct.
251040	254480	And then if you behave according to that code of conduct,
254480	257680	that improves your chances of getting a bonus payment.
257680	259839	And on the other hand, if you disregard it,
259839	262600	then there are higher chances of not getting your bonus
262600	264160	or its being diminished.
264160	265440	In other words,
265440	267280	this is a very economic motivation
267280	270080	of trying to get people to be more honest,
270080	274240	or more aligned with the corporation's principles.
274240	279520	Similarly, reputation is a very powerful economic force, right?
279520	281080	We try to build a reputation,
281080	282520	maybe for being honest,
282520	285960	because then people trust us more in the future.
285960	287200	Right?
287200	289320	Adam Smith talked about the baker
289320	293120	who's not producing good bread out of his benevolence
293120	296160	for those people who consume the bread,
296160	300160	but because he wants to sell more future bread.
300160	302400	In my research, we find, for example,
302400	303800	at the University of Zurich,
303800	308720	that Swiss banks who get caught up in media,
308720	310520	and in the context, for example,
310520	312080	of tax evasion, of tax fraud,
312080	313840	have bad media coverage.
313840	316600	They lose net new money in the future
316600	318240	and therefore make lower profits.
