0	3000	I am going to be talking about secrets.
3000	5000	Obviously the best way to divulge a secret
5000	8000	is to tell someone to not say anything about it.
8000	10000	(Laughter)
10000	12000	Secrets. I'm using PowerPoint this year
12000	15000	just because, you know, I'm into the TED thing.
15000	16000	(Laughter)
16000	18000	And when you use these things you don't have to go like that.
18000	20000	You just press it.
20000	24000	(Laughter)
24000	27000	Oh, man. Um, yes.
27000	29000	(Laughter)
29000	31000	Yes. I'm sure! Just change it!
31000	36000	(Laughter)
36000	39000	Is Bill Gates here?
39000	41000	Change it! Come on! What?
41000	42000	(Laughter)
42000	44000	Ah! Okay.
44000	46000	That's not my slides, but it's okay.
46000	49000	(Laughter)
49000	52000	As you can see, these are all maps.
52000	56000	And maps are important devices for transferring information,
56000	60000	especially if you have human cognitive ability.
60000	64000	We can see that all formulas are really maps.
64000	66000	Now, as humans, we make maps of places
66000	68000	that we seldom even go,
68000	70000	which seems a little wasteful of time.
70000	74000	This, of course, is a map of the moon.
74000	76000	There're some very delightful names.
76000	79000	Tranquilacalitis, [unclear]. My favorite is Frigoris.
79000	82000	What are these people thinking? Frigoris?
82000	84000	What the Frigoris you doing? Names are important.
84000	87000	Frigoris? This is the Moon. People could live there one day.
87000	89000	I'll meet you at Frigoris. No. I don't think so.
89000	92000	(Laughter)
92000	94000	There we see Mars, again with various names.
94000	96000	And this is all done, by the way,
96000	98000	by the International Astronomical Union.
98000	101000	This is an actual group of people
101000	104000	that sit around naming planetary objects.
104000	108000	This is from their actual book.
108000	111000	These are some of the names that they have chosen, ladies and gentlemen.
111000	114000	I'll go through a little of them. Bolotnitsa.
114000	117000	That, of course, is the Slavic swamp mermaid.
117000	118000	(Laughter)
118000	120000	Now I think the whole concept of a mermaid
120000	123000	doesn't really blend into the swamp feel.
123000	124000	(Laughter)
124000	127000	"Oh look! Mermaid come out of swamp. Oh boy!
127000	129000	It's time for Bolotnitsa!"
129000	132000	(Laughter)
132000	134000	Djabran Fluctus.
134000	137000	If that don't flow off the tongue, what does?
137000	139000	(Laughter)
139000	141000	I mean kids are studying this stuff
141000	143000	and they've got the word "fluctus" up there. That's wrong.
143000	144000	(Laughter)
144000	147000	One dyslexic kid and he could be ruining his life.
147000	149000	(Laughter)
149000	152000	"It fluctus up, Mama."
152000	154000	Hikuleo Fluctus.
154000	156000	That's a little more flowing. Hikuleo
156000	160000	sounds like a kind of a Leonardo DiCaprio
160000	162000	17 syllable thing.
162000	164000	And that's the Tonga underworld.
164000	166000	And one of my favorites is the Itoki Fluctus,
166000	170000	who is the Nicaraguan goddess of insects, stars, and planets.
170000	173000	Now, if you're a goddess of stars and planets
173000	176000	wouldn't you relegate insects to somebody else?
176000	177000	(Laughter)
177000	179000	"No, no, really, I'm so busy with the stars.
179000	182000	Would you mind taking the insects? Thank you darling.
182000	185000	Oh take the spiders too. I know they're not insects, but I don't care.
185000	188000	Monkeys, chimps, just get rid of the hairy creatures."
188000	190000	(Laughter)
190000	193000	Now, we're going to be going to Mars one day. And when we do,
193000	195000	it's going to be unfair for the people that are living there
195000	197000	to have to live with these ridiculous names.
197000	199000	So, you'll be on Mars, and you're at
199000	202000	Hellespointica Depressio
202000	204000	which has got to be a really "up" place.
204000	206000	(Laughter)
206000	209000	Yeah, I'm at the Depressio, and I want to get over to Amazonis
209000	211000	so I plug it into the Mars map,
211000	213000	and click the button and there's my directions.
213000	215000	I go to Chrysokeras.
215000	218000	(Laughter) Left to the Thymiamata.
218000	220000	Then to Niliacus Lacus,
220000	222000	which is not a bad name.
222000	225000	Niliacus Lacus, try to get the practice, slick-a-tick-a-bacus.
225000	227000	That's a cool name. I will say that.
227000	229000	So, I hold back a little of my venom
229000	231000	for these astronomical misnomers.
231000	233000	And then of course Arnon to Thoth.
233000	235000	And of course there will be advertisements.
235000	238000	This is from their rule book, the International Astronomical Union.
238000	239000	And you know they're international because
239000	242000	they put it "en Francais" as well.
242000	244000	L'Union Astronomique Internationale,
244000	246000	for those of you who don't speak French.
246000	248000	I thought I'd translate for you.
248000	250000	From the rulebook: Nomenclature is a tool.
250000	254000	The first consideration, make it clear, simple and unambiguous.
254000	256000	And I think that Djabran Fluctus,
256000	258000	that fits that mode.
258000	260000	(Laughter)
260000	262000	That's simple, the goddess of goats, very simple.
262000	264000	Djabran Fluctus.
264000	266000	"Now, Frank is this clear to you, Djabran Fluctus?"
266000	270000	"Yeah, that's the goat goddess right? The Abacazanian?
270000	271000	(Laughter)
271000	273000	It's clear to me."
