937	2633	This is a photograph
2633	5449	of a man whom for many years
5449	9170	I plotted to kill.
9170	12190	This is my father,
12190	15927	Clinton George "Bageye" Grant.
15927	18198	He's called Bageye because he has
18198	22358	permanent bags under his eyes.
22358	25134	As a 10-year-old, along with my siblings,
25134	29250	I dreamt of scraping off the poison
29250	33200	from fly-killer paper into his coffee,
33200	35055	grounded down glass and sprinkling it
35055	38044	over his breakfast,
38044	39754	loosening the carpet on the stairs
39754	43482	so he would trip and break his neck.
43482	45109	But come the day, he would always
45109	47361	skip that loose step,
47361	49190	he would always bow out of the house
49190	51030	without so much as a swig of coffee
51030	53818	or a bite to eat.
53818	55104	And so for many years,
55104	57064	I feared that my father would die
57064	59138	before I had a chance to kill him.
59138	63730	(Laughter)
63730	66721	Up until our mother asked him to leave
66721	68378	and not come back,
68378	72634	Bageye had been a terrifying ogre.
72634	76219	He teetered permanently on the verge of rage,
76219	79827	rather like me, as you see.
79827	83127	He worked nights at Vauxhall Motors in Luton
83127	86286	and demanded total silence throughout the house,
86286	88958	so that when we came home from school
88958	90998	at 3:30 in the afternoon, we would huddle
90998	94248	beside the TV, and rather like safe-crackers,
94248	96734	we would twiddle with the volume control knob
96734	99527	on the TV so it was almost inaudible.
99527	101838	And at times, when we were like this,
101838	104270	so much "Shhh," so much "Shhh"
104270	106135	going on in the house
106135	108110	that I imagined us to be like
108110	111610	the German crew of a U-boat
111610	114102	creeping along the edge of the ocean
114102	115918	whilst up above, on the surface,
115918	119663	HMS Bageye patrolled
119663	121790	ready to drop death charges
121790	125777	at the first sound of any disturbance.
125777	128712	So that lesson was the lesson that
128712	130160	"Do not draw attention to yourself
130160	132424	either in the home or outside of the home."
132424	135110	Maybe it's a migrant lesson.
135110	138280	We were to be below the radar,
138280	139775	so there was no communication, really,
139775	142936	between Bageye and us and us and Bageye,
142936	145544	and the sound that we most looked forward to,
145544	147298	you know when you're a child and you want
147298	150736	your father to come home and it's all going to be happy
150736	152490	and you're waiting for that sound of the door opening.
152490	153746	Well the sound that we looked forward to
153746	155639	was the click of the door closing,
155639	160347	which meant he'd gone and would not come back.
160347	163806	So for three decades,
163806	166847	I never laid eyes on my father, nor he on me.
166847	168615	We never spoke to each other for three decades,
168615	170416	and then a couple of years ago, I decided
170416	174687	to turn the spotlight on him.
174687	176575	"You are being watched.
176575	178431	Actually, you are.
178431	180495	You are being watched."
180495	183159	That was his mantra to us, his children.
183159	184832	Time and time again he would say this to us.
184832	187935	And this was the 1970s, it was Luton,
187935	189564	where he worked at Vauxhall Motors,
189564	191391	and he was a Jamaican.
191391	192450	And what he meant was,
192450	194561	you as a child of a Jamaican immigrant
194561	196479	are being watched
196479	198136	to see which way you turn, to see whether
198136	202255	you conform to the host nation's stereotype of you,
202255	204855	of being feckless, work-shy,
204855	207416	destined for a life of crime.
207416	209150	You are being watched,
209150	213493	so confound their expectations of you.
213493	217771	To that end, Bageye and his friends,
217771	219426	mostly Jamaican,
219426	223180	exhibited a kind of Jamaican bella figura:
223180	225794	Turn your best side to the world,
225794	228068	show your best face to the world.
228068	229842	If you have seen some of the images
229842	231978	of the Caribbean people arriving
231978	233630	in the '40s and '50s,
233630	235026	you might have noticed that a lot of the men
235026	236915	wear trilbies.
236915	240556	Now, there was no tradition of wearing trilbies in Jamaica.
240556	243499	They invented that tradition for their arrival here.
243499	245266	They wanted to project themselves in a way
245266	247600	that they wanted to be perceived,
247600	249031	so that the way they looked
249031	251974	and the names that they gave themselves
251974	253646	defined them.
253646	259135	So Bageye is bald and has baggy eyes.
259135	263147	Tidy Boots is very fussy about his footwear.
263147	265859	Anxious is always anxious.
265859	268588	Clock has one arm longer than the other.
268588	272236	(Laughter)
272236	275610	And my all-time favorite was the guy they called Summerwear.
275610	277444	When Summerwear came to this country
277444	279563	from Jamaica in the early '60s, he insisted
279563	281940	on wearing light summer suits,
281940	283596	no matter the weather,
283596	284934	and in the course of researching their lives,
284934	287910	I asked my mom, "Whatever became of Summerwear?"
287910	292737	And she said, "He caught a cold and died." (Laughter)
292737	294593	But men like Summerwear
294593	296055	taught us the importance of style.
296055	298177	Maybe they exaggerated their style
298177	301393	because they thought that they were not considered
301393	303497	to be quite civilized,
303497	306313	and they transferred that generational attitude
306313	308913	or anxiety onto us, the next generation,
308913	311100	so much so that when I was growing up,
311100	313473	if ever on the television news or radio
313473	314981	a report came up about a black person
314981	316665	committing some crime —
316665	320329	a mugging, a murder, a burglary —
320329	323881	we winced along with our parents,
323881	326545	because they were letting the side down.
326545	327998	You did not just represent yourself.
327998	329740	You represented the group,
329740	334248	and it was a terrifying thing to come to terms with,
334248	336512	in a way, that maybe you were going
336512	340656	to be perceived in the same light.
340656	344428	So that was what needed to be challenged.
344428	348709	Our father and many of his colleagues
348709	352170	exhibited a kind of transmission but not receiving.
352170	354392	They were built to transmit but not receive.
354392	357243	We were to keep quiet.
357243	358596	When our father did speak to us,
358596	361461	it was from the pulpit of his mind.
361461	363049	They clung to certainty in the belief
363049	367178	that doubt would undermine them.
367178	370769	But when I am working in my house
370769	374620	and writing, after a day's writing, I rush downstairs
