817	2993	About 12 years ago,
2993	5245	I gave up my career in banking
5245	8356	to try to make the world a safer place.
8356	12565	This involved a journey into national and global advocacy
12565	17388	and meeting some of the most extraordinary people in the world.
17388	22566	In the process, I became a civil society diplomat.
22566	26072	Civil society diplomats do three things:
26072	28603	They voice the concerns of the people,
28603	31691	are not pinned down by national interests,
31691	34528	and influence change through citizen networks,
34528	37084	not only state ones.
37084	41683	And if you want to change the world, we need more of them.
41683	44190	But many people still ask,
44190	48741	"Can civil society really make a big difference?
48741	54012	Can citizens influence and shape national and global policy?"
54012	56961	I never thought I would ask myself these questions,
56961	60211	but here I am to share some lessons
60211	65227	about two powerful civil society movements that I've been involved in.
65227	69035	They are in issues that I'm passionate about:
69035	73214	gun control and drug policy.
73214	76859	And these are issues that matter here.
76859	82253	Latin America is ground zero for both of them.
82253	84296	For example, Brazil --
84296	90550	this beautiful country hosting TEDGlobal has the world's ugliest record.
90550	96448	We are the number one champion in homicidal violence.
96448	102569	One in every 10 people killed around the world is a Brazilian.
102569	107678	This translates into over 56,000 people
107678	111161	dying violently each year.
111161	117082	Most of them are young, black boys dying by guns.
117082	122213	Brazil is also one of the world's largest consumers of drugs,
122213	127066	and the War on Drugs has been especially painful here.
127066	130339	Around 50 percent of the homicides in the streets in Brazil
130339	133776	are related to the War on Drugs.
133776	139464	The same is true for about 25 percent of people in jail.
139464	144596	And it's not just Brazil that is affected by the twin problems of guns and drugs.
144596	151620	Virtually every country and city across Central and South America is in trouble.
151620	155869	Latin America has nine percent of the world's population,
155869	160930	but 25 percent of its global violent deaths.
160930	163972	These are not problems we can run away from.
163972	166271	I certainly could not.
166271	171147	So the first campaign I got involved with started here in 2003
171147	173190	to change Brazil's gun law
173190	176278	and to create a program to buy back weapons.
176278	177857	In just a few years,
177857	180295	we not only changed national legislation
180295	184033	that made it much more difficult for civilians to buy a gun,
184033	189683	but we collected and destroyed almost half a million weapons.
189683	194262	This was one of the biggest buyback programs in history --
194262	196921	(Applause) --
196921	200542	but we also suffered some setbacks.
200542	206324	We lost a referendum to ban gun sales to civilians in 2005.
206324	209597	The second initiative was also home-grown,
209597	215147	but is today a global movement to reform the international drug control regime.
215147	216938	I am the executive coordinator
216938	221416	of something called the Global Commission on Drug Policy.
221416	223854	The commission is a high-level group
223854	227755	of global leaders brought together to identify more humane
227755	231911	and effective approaches to the issue of drugs.
231911	236479	Since we started in 2008, the taboo on drugs is broken.
236479	241431	Across the Americas, from the US and Mexico to Colombia and Uruguay,
241431	243579	change is in the air.
243579	247381	But rather than tell you the whole story about these two movements,
247381	251189	I just want to share with you four key insights.
251189	254788	I call them lessons to change the world.
254788	257017	There are certainly many more,
257017	260314	but these are the ones that stand out to me.
260314	262496	So the first lesson is:
262496	265770	Change and control the narrative.
265770	267604	It may seem obvious,
267604	270646	but a key ingredient to civil society diplomacy
270646	274733	is first changing and then controlling the narrative.
274733	277890	This is something that veteran politicians understand,
277890	282813	but that civil society groups generally do not do very well.
282813	285158	In the case of drug policy,
285158	288618	our biggest success has been to change the discussion
288618	291427	away from prosecuting a War on Drugs
291427	295398	to putting people's health and safety first.
