817	2993	およそ12年前のことです
2993	5245	私は世界を安全な場所に変えたいと思い
5245	8356	銀行員としてのキャリアをあきらめました
8356	12565	新たな人生という道では 国内外の政策提言活動に携わり
12565	17388	世界中のとても素晴らしい人々との 出会いに恵まれました
17388	22566	その過程で 私は市民社会の外交官になりました
22566	26072	市民社会の外交官には３つの役目があります
26072	28603	国家の利益に制約を受けることなく
28603	31691	人々の声を代弁すること
31691	34528	また国家が有するネットワークだけでなく
34528	37084	市民のネットワークを通じて 変化をなし遂げることです
37084	41683	世界を変えようと思ったら 私のような人がもっと必要です
41683	44190	しかし 多くの人々が なおもこう尋ねます
44190	48741	「市民社会は本当に大きな 変革が可能なのか？」
48741	54012	「市民が国内外の政治に 影響を与え 変えられるのか？」
54012	56961	自ら このような問いかけをするとは 思いもよりませんでしたが
56961	61921	私が関与してきた ２つの影響力のある市民社会運動で得た
61921	65227	教訓についてお話ししたいと思います
65227	69035	これらの運動では 私が特に強く関心を抱いている
69035	73214	銃規制と薬物政策を 問題に取り上げています
73214	76859	これらの問題は我が国で重要です
76859	82253	ラテンアメリカは両方の問題の 震源地といえます
82253	84296	例えば ブラジルは ―
84296	90550	TEDGlobalをホストする美しい国ですが ある世界最悪の記録を保有しています
90550	96448	暴力殺人件数でワースト１位です
96448	102569	世界中の殺人被害者の内 10人に１人がブラジル人なのです
102569	107678	そう 毎年５万６千人が
107678	111161	暴力を受けて死に至っています
111161	117082	その多くは若い黒人の少年たちで 銃によって命を落としています
117082	122213	ブラジルは麻薬の消費量が 最も多い国の１つでもあり
122213	127066	「薬物との戦争」は 大変な痛みを伴っています
127066	130339	ブラジルでは路上での殺人の内 およそ50％は
130339	133776	「薬物との戦争」に関連しています
133776	139464	同様に囚人の25％も関与しています
139464	144596	銃と薬物という対になる問題に 悩まされているのはブラジルに限りません
144596	151620	事実上 中南米のほぼすべての国と都市が この問題を抱えています
151620	155869	ラテンアメリカの人口は世界の人口の ９％を占めていますが
155869	160930	暴力による死者の割合は 世界全体の25％にものぼります
160930	163972	目を背ければ どうでも良いことなのかもしれません
163972	166271	しかし 私には出来ないことでした
166271	171147	私が政治運動に初めて関与したのは 2003年のことで
171147	173190	ここブラジルの銃規制法を変え
173190	176278	武器の買取りプログラムを 創出するというものでした
176278	177857	数年のうちに
177857	181475	一般市民による銃の購入を より厳しく制限する
181475	184033	法制化がなされたばかりでなく
184033	189683	50万丁ほどの武器を回収し 破棄することができました
189683	194262	これは歴史上 もっとも大規模な 武器の買取りプログラムの1つでした
194262	196921	(拍手)
196921	200542	しかし 敗北を喫したものもありました
200542	206324	一般市民への銃の販売禁止を求めた 2005年の国民投票では失敗に終わりました
206324	209597	次に私を駆り立てたものは 当初は国内で始まったものでしたが
209597	215147	今では世界的な動きとなっている 国際的な薬物規制体制を再構築することです
215147	218388	私は「薬物政策国際委員会」と称される
218388	221416	組織の調整役を務める役員です
221416	224994	この委員会は 世界のリーダーからなる
224994	227755	ハイレベルグループで 薬物問題について
227755	231911	より人道的かつ効果的な 方法を見い出そうとしています
231911	236479	我々が2008年に行動を開始して以来 薬物に関するタブーは打ち破られました
236479	241431	米国､メキシコからコロンビア､ウルグアイに 至るまでアメリカ大陸全体で
241431	243579	変化が起きています
243579	247381	この２つの運動について 詳しく説明する代わりに
247381	251189	私が得た４つの見識について お話ししようと思います
251189	254788	これを私は世界を変えるための 教訓と称しています
254788	257017	もちろん 他にもいろんなことが 有りますが
257017	260314	この４つが 際立って大切だと思っています
260314	262496	１つ目の教訓は
262496	265770	語り口を変えて 会話をコントロールすること
265770	267604	これは当前のことと思えるかもしれません
267604	270216	市民社会の外交手段として
270216	274733	語り口を変えて会話をコントロールする話術が 真っ先に必要とされることなのです
274733	277890	これはベテランの政治家なら 理解しているようなことですが
277890	282813	市民社会のメンバーは たいてい上手くできていません
282813	285158	薬物政策の場合
285158	288618	我々の取り組みが最も成功した点は
288618	291427	「薬物との戦争」を批判する議論から離れて
291427	295398	人々の健康と安全を優先すべきだという 議論に変えていったことです
295398	298834	我々がニューヨークで発表したばかりの 最新の報告書によると
298834	306403	約40兆円の薬物市場で利益を得ているのは
306403	309724	犯罪組織や麻薬カルテルであることも 分かりました
309724	313462	このような集団の力と利益を削ぐためには
313462	316434	議論の内容を変えなければなりません
316434	322726	薬物を非合法扱いから 合法なものへと変える必要があります
322726	325559	皆さんを驚かせる前に 申し上げておきますと
325559	328702	誰もがタダで薬物を入手できればよい という意味ではありません
328702	332827	私がお伝えしたいこと そして 薬物政策国際委員会が提唱していることは
332827	337354	高度に規制の掛けられた市場を 創出し
337354	342579	異なる薬物ごとに 異なる規制をかけることです
342579	346619	銃の規制については 変革に成功しましたが
346619	349544	議論の仕方を変えることは 上手くいきませんでした
349544	352400	ここで私が得たことが ２つ目の教訓です
352400	356324	反対する人たちを 決して軽視しないこと
356324	358553	世界を変えることを 成功させようと思ったら
358553	360922	反対する人たちが誰なのか 知っておく必要があること
360922	364590	その人たちの動機と考え方を 学ぶべきであるということです
364590	366796	銃規制の場合
366796	370349	我々は敵対する人たちを とても軽視していました
370349	373274	銃買取りプログラムが 大いに成功したとき
373274	374618	我々は意気揚々としていました
374618	377454	80％のブラジル人の支持を得ていた事実が
377454	380335	一般市民に対する銃の販売禁止法案に関する
380335	382747	国民投票を後押しするものと考えていました
382747	385928	しかし これは完全に間違っていました
385928	389249	20日間に渡るテレビ番組での公開討論で
389249	393103	反対派は 我々の理屈を逆手に取りました
393103	395332	結局 人気票を失い
395332	397677	ひどい結果に終わりました
397677	403836	NRA つまり米国ライフル協会が
403836	405595	ブラジルにやって来たのです
405595	408695	我々のキャンペーン中に 彼らがやったのは ご存じの通り
408695	410238	銃を保有する権利を
410238	414581	自由や民主主義に結びつける そんなプロパガンダで満たしたのです
414581	418458	彼らはあらゆる方法で我々を攻撃しました
418458	420385	ブラジル国旗や
420385	422080	独立を讃える国歌を利用しました
422080	423915	女性の権利に訴え
423915	429302	マンデラ､天安門広場 さらには ヒトラーのイメージさえも悪用しました
429302	433272	人々を恐怖に陥れることで 勝利を得たのです
433272	437916	実際のところ 彼らのキャンペーンでは 銃のことはほぼ完全に無視されていました
437916	441213	個人の権利に焦点を絞ったのです
441213	442792	しかし 皆さんにお聞きしたいのです
442792	445021	どちらの権利が より大切でしょうか？
445021	446832	生きる権利と
446832	449897	命を奪い去る銃を手にする権利です
449897	454150	(拍手)
454150	457972	私たちは 人々が命を守るための 票を投じるものと思っていました
457972	462756	しかし近年まで 軍による独裁政治が 行なわれていた この国で
462756	467027	規制反対者による 反政府のメッセージがこだまし
467027	470626	これに対処する準備が 我々にはありませんでした
470626	472715	こうして教訓を学んだのです
472715	476005	薬物政策に対しては 我々はもっと上手くやっています
476005	480719	「薬物との戦争」が収束する日が来るかと 人々に10年前に尋ねたら
480719	482731	きっと失笑されたことでしょう
482731	486229	結局のところ 膨大な数の 軍警察の刑務所と
486229	490325	この戦争から得られる 確固とした収入源が存在しているのです
490325	496097	しかし今日では 国際的な薬物規制体制が 崩壊し始めています
496097	500926	各国の政府や市民社会は 新たな方法を試みています
500926	503248	「薬物政策国際委員会」は
503248	505315	反対派のことを熟知しており
505315	507149	戦いを挑むのではなく
507149	511793	会長である 元ブラジル大統領の フェルナンド・エンリケ・カルドーゾは
511793	516065	リベラル派から保守派にいたるまで
516065	518875	様々な政治家と接触しました
518875	523751	ハイレベルグループは 薬物政策の長所と短所を
523751	525701	誠実に話し合うことに合意しました
525701	530461	これは熟考され 知識に基づいた 戦略的な議論となり
530461	534222	「薬物との戦争」の悲しい真実を 明らかにしました
534222	540538	「薬物の戦争」はあらゆる意味で 失敗に陥っていました
540538	543440	薬物はかつてないほどに 安く 大量に入手できるようになり
543440	546227	その消費量は世界規模で増加してきました
546227	548409	さらに悪いことに
548409	554980	意図しない 大規模な負の結果も もたらされたのです
554980	558626	そのような議論をする人達が 以前にもいたことは事実ですが
558626	560366	我々は反対派の議論を予見し
560366	563378	数年前なら 変化に抵抗していたであろう人たちの
563378	565484	力強い声を 逆に利用して
565484	570374	変化を成し遂げたのです
570374	574461	３つ目の教訓： 議論を押し進めるためにはデータを使うこと
574461	577456	銃と薬物は感情的な問題で
577456	581357	ブラジルでの銃規制に関する国民投票で 心を痛めながらも学んだように
581357	584422	感情的な側面を押しのけて 真実に辿りつこうとすると
584422	586512	失敗に陥ることがあります
586512	589600	とはいえ トライすべきではない という訳ではありません
589600	591251	つい最近まで
591251	595265	我々は何人のブラジル人が銃によって 命を落としているか知りませんでした
595265	600780	驚いたことに ローカルなメロドラマ “Mulheres Apaixonadas”
600780	602498	もしくは『恋する女たち』が
602498	606410	ブラジルの国家規模の 銃規制キャンペーンの口火を切ったのです
606410	608872	ある高視聴率の回で
608872	613074	メロドラマの主演女優が 流れ弾に当たり命を落としました
613074	617370	するとブラジルのおばあさんや 主婦達が怒りだしました
617370	620644	この人生が芸術を模倣した例では
620644	625938	我々がまさにこの場所 コパカバーナ・ビーチで敢行した
625938	628422	銃規制運動の行進の様子を写した
628422	631255	フィルム映像が使われたのです
631255	636699	テレビで放映された死と 行進の場面は 世論に著しい影響をもたらしました
636699	641483	わずか数週間のうちに 何年も滞っていた
641483	644571	非武装法が議会で承認されました
644571	647586	そこで我々は数字を示すことができ
647586	650886	ついに法律を改正し
650886	653007	銃の回収プログラムという 成果を得たのです
653007	654769	ここでお伝えしたいのは
654769	658293	わずか１年で
658293	663099	５千人以上の命を守ることが 出来たということです
663099	666862	(拍手)
666862	669276	薬物の場合
669276	674570	同様の恐怖感を和らげ 取りまく問題に対する偏見を取り除くため
674570	679678	薬物政策が 薬物使用そのものよりも 害を引き起こすという
679678	683549	データを何とか集め これを示すと
683549	687682	人々は理解を示し始めました
687682	689818	私が学んだ４つ目の教訓は
689818	694044	変わった人達と一緒に活動することを 恐れてはいけないということです
694044	696018	これはブラジルで学んだことですが
696018	698363	我が国だけに 当てはまるものではなく
698363	702995	様々な考えを持った人や 折衷的な人達と 一緒に活動することが大切だということです
702995	705131	世界を変えようと思ったら
705131	709427	社会の良き側面を映すような人達を あなたの味方につけると良いのです
709427	712027	銃と薬物 どちらの場合でも
712027	715463	素晴らしい多様性のある人々を 団結させることができました
715463	719667	エリート層の活動により メディアから 計り知れないほどの支援が得られました
719667	724124	被害者や人権を勝ち取った人 文化的に著名な方々が手を取り合いました
724124	726701	医者､弁護士､学者などの
726701	729697	専門家も集まりました
729697	732437	私が過去数年の間に学んだことは
732437	738337	変化を望む人､望まぬ人達が 一緒になる必要性です
738337	740204	薬物問題の場合
740204	743791	リベラル派､薬物規制反対派 合法化賛成派や
743791	746136	リベラル派の政治家も必要でした
746136	748597	彼らは 全てに同意するわけではありません
748597	752846	実際 ほとんど全てのことに反対します
752846	759521	しかしキャンペーンの合法性は 多様性のある視点に基づくことができます
759521	761762	10年ほど前のことですが
761762	766220	私はかつて投資銀行で働いていて 将来は安泰だと思っていました
766220	770492	そこは ご想像の通り 市民社会の外交官からは
770492	772768	程遠い世界でした
772768	774927	しかし 私は機会を捉え
774927	776924	進路を変えました
776924	781594	その過程で 世界の一部の地域を より安全なものにしたと自負する
781594	785004	社会運動を創出することができました
785004	790178	誰もが 世界を変える力をもっています
790178	794790	問題が何であれ 変革の戦いがいかに大変であっても
794790	799504	市民社会が中心となって 変革のための青写真を描くのです
799504	801815	どうも有難うございました
801815	801815	(拍手)
