821	4937	These are some photos of me volunteering in a Cambodian orphanage
4937	6840	in 2006.
6840	8767	When these photos were taken,
8767	11093	I thought I was doing a really good thing
11093	14513	and that I was really helping those kids.
14513	17219	I had a lot to learn.
17219	20039	It all started for me when I was 19 years old
20039	23043	and went backpacking through Southeast Asia.
23043	24742	When I reached Cambodia,
24742	29040	I felt uncomfortable being on holiday surrounded by so much poverty
29040	31875	and wanted to do something to give back.
31875	35617	So I visited some orphanages and donated some clothes and books
35617	36935	and some money
36935	39715	to help the kids that I met.
39715	43891	But one of the orphanages I visited was desperately poor.
43891	48165	I had never encountered poverty like that before in my life.
48165	50599	They didn't have funds for enough food,
50599	51933	clean water
51933	53949	or medical treatment,
53949	56871	and the sad little faces on those kids
56871	58730	were heartbreaking.
58730	62258	So I was compelled to do something more to help.
62258	65946	I fund-raised in Australia and returned to Cambodia the following year
65946	69375	to volunteer at the orphanage for a few months.
69375	72548	I taught English and bought water filters and food
72548	77487	and took all of the kids to the dentist for the first time in their lives.
77487	79424	But over the course of the next year,
79424	83032	I came to discover that this orphanage that I had been supporting
83032	85114	was terribly corrupt.
85114	89895	The director had been embezzling every cent donated to the orphanage,
89895	94269	and in my absence, the children were suffering such gross neglect
94269	98486	that they were forced to catch mice to feed themselves.
98486	99913	I also found out later
99913	104883	that the director had been physically and sexually abusing the kids.
104883	107523	I couldn't bring myself to turn my back on children
107523	110209	who I had come to know and care about
110209	113161	and return to my life in Australia.
113161	116722	So I worked with a local team and the local authorities
116722	120125	to set up a new orphanage and rescue the kids
120125	124221	to give them a safe new home.
124221	128950	But this is where my story takes another unexpected turn.
128950	134995	As I adjusted to my new life running an orphanage in Cambodia,
134995	138977	(Khmer) I learned to speak Khmer fluently,
138977	142524	which means that I learned to speak the Khmer language fluently.
142524	145599	And when I could communicate properly with the kids,
145599	149697	I began to uncover some strange things.
149697	153386	Most of the children we had removed from the orphanage
153386	158013	were not, in fact, orphans at all.
158013	160547	They had parents,
160547	163942	and the few that were orphaned had other living relatives,
163942	166486	like grandparents and aunties and uncles
166486	168885	and other siblings.
168885	173341	So why were these children living in an orphanage
173341	177277	when they weren't orphans?
177277	180535	Since 2005, the number of orphanages in Cambodia
180535	183776	has risen by 75 percent,
183776	186895	and the number of children living in Cambodian orphanages
186895	189065	has nearly doubled,
189065	190601	despite the fact
190601	193748	that the vast majority of children living in these orphanages
193748	197277	are not orphans in the traditional sense.
197277	200891	They're children from poor families.
200891	203845	So if the vast majority of children living in orphanages
203845	205292	are not orphans,
205292	207178	then the term "orphanage"
207178	212561	is really just a euphemistic name for a residential care institution.
212561	215518	These institutions go by other names as well,
215518	221027	like "shelters," "safe houses," "children's homes," "children's villages,"
221027	223430	even "boarding schools."
223430	228451	And this problem is not just confined to Cambodia.
